time,distance_permin_pernumber,shrimp_number
 2017-12-01 23:58:35,13.2,13.9
 2017-12-02 23:58:35,10.41,15.48
 2017-12-03 23:58:33,10.79,16.8
 2017-12-04 23:58:30,9.56,14.1
 2017-12-05 23:58:30,12.12,12.52
 2017-12-06 23:58:30,13.08,13.67
 2017-12-08 23:58:15,12.62,13.28
 2017-12-09 23:58:14,14.88,10.64
 2017-12-12 23:58:13,10.47,9.47
 2017-12-13 23:58:09,12.76,12.54
 2017-12-14 23:58:09,11.26,10.93
 2017-12-15 23:58:10,11.05,15.56
 2017-12-16 23:58:08,11.49,10.11
 2017-12-17 23:58:21,8.75,11.51
 2017-12-18 23:58:20,9.87,11.11
 2017-12-20 23:58:19,12.09,10.36
 2017-12-21 23:58:17,12.93,7.4
 2017-12-22 23:58:17,13.04,8.51
 2017-12-23 23:58:14,8.25,7.74
 2017-12-24 23:58:16,11.65,9.29
 2017-12-25 23:58:15,13.25,9.04
 2017-12-25 23:58:15,13.25,9.04
 2017-12-26 23:58:14,11.99,10.55
 2017-12-27 23:58:14,10.65,9.77
 2017-12-28 23:58:12,12.78,9.83
 2017-12-30 23:58:11,10.47,12.1
 2017-12-31 23:58:10,12.99,11.71
 2018-01-01 23:58:08,10.96,11.8
 2018-01-02 23:58:07,15.31,12.04
 2018-01-02 23:58:07,15.31,12.04
 2018-01-03 23:58:07,12.48,11.62
 2018-01-04 23:58:06,13.73,8.17
 2018-01-05 23:58:06,10.27,9.03
 2018-01-05 23:58:06,10.27,9.03
 2018-01-06 23:58:06,10.81,15.34
 2018-01-07 23:58:04,12.6,10.8
 2018-01-08 23:58:04,8.04,9.34
 2018-01-10 23:58:01,8.02,9.89
 2018-01-11 23:58:02,8.93,12.47
 2018-01-12 23:58:00,12.01,11.3
 2018-01-13 23:57:58,8.54,9.2
 2018-01-14 23:57:57,10.97,13.16
 2018-01-15 23:57:58,11.63,12.08
 2018-01-16 23:57:57,9.93,14.25
 2018-01-17 23:57:58,12.63,12.85
 2018-01-18 23:57:55,7.02,11.97
 2018-01-20 23:57:53,10.35,11.14
 2018-01-21 23:57:51,10.59,13.95
 2018-01-22 23:57:52,8.23,11.23
 2018-01-23 23:57:51,7.45,9.02
 2018-01-24 23:57:50,10.42,9.62
