E,tau,tp,nn,num_pred,rho,mae,rmse,perc,p_val,const_pred_num_pred,const_pred_rho,const_pred_mae,const_pred_rmse,const_pred_perc,const_p_val,
1,1,1,2,137,0.3659156,2.729835,3.369309,1,4.46E-06,137,0.5151639,2.54635,3.168971,1,2.12E-11,
2,1,1,3,136,0.2487977,2.651843,3.427035,1,1.69E-03,136,0.515909,2.552096,3.176998,1,2.32E-11,
3,1,1,4,135,0.1587198,2.668716,3.471487,1,3.30E-02,135,0.5150377,2.557926,3.185122,1,3.00E-11,
4,1,1,5,134,0.1875022,2.69193,3.429178,1,1.49E-02,134,0.516699,2.554179,3.186038,1,2.98E-11,
5,1,1,6,133,0.303829,2.52578,3.164083,1,1.74E-04,133,0.5215691,2.535714,3.168349,1,2.11E-11,
6,1,1,7,132,0.3562357,2.436212,3.059879,1,1.16E-05,132,0.5291086,2.511212,3.140424,1,1.13E-11,
7,1,1,8,131,0.4126868,2.309076,2.972937,1,3.44E-07,131,0.528855,2.520229,3.150246,1,1.38E-11,
8,1,1,9,130,0.3812843,2.373026,3.032516,1,3.01E-06,130,0.5275611,2.536923,3.16219,1,1.89E-11,
9,1,1,10,129,0.3704199,2.374127,2.999309,1,6.34E-06,129,0.5276027,2.521395,3.149155,1,2.24E-11,
10,1,1,11,128,0.3054879,2.420701,3.060032,1,2.09E-04,128,0.5142636,2.536641,3.161031,1,1.03E-10,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
E,tau,tp,nn,theta,num_pred,rho,mae,rmse,perc,p_val,const_pred_num_pred,const_pred_rho,const_pred_mae,const_pred_rmse,const_pred_perc,const_p_val

7,1,1,0,0,131,0.4725797,2.313353,2.876756,1,3.16E-09,131,0.528855,2.520229,3.150246,1,1.38E-11
7,1,1,0,0.5,131,0.4849012,2.290247,2.851179,1,1.05E-09,131,0.528855,2.520229,3.150246,1,1.38E-11
7,1,1,0,1,131,0.4889892,2.280309,2.845106,1,7.25E-10,131,0.528855,2.520229,3.150246,1,1.38E-11
7,1,1,0,1.5,131,0.4879855,2.276298,2.851937,1,7.95E-10,131,0.528855,2.520229,3.150246,1,1.38E-11
7,1,1,0,2,131,0.4837873,2.282851,2.868644,1,1.17E-09,131,0.528855,2.520229,3.150246,1,1.38E-11
7,1,1,0,2.5,131,0.4776041,2.287979,2.893647,1,2.03E-09,131,0.528855,2.520229,3.150246,1,1.38E-11
7,1,1,0,3,131,0.4704126,2.297545,2.925292,1,3.81E-09,131,0.528855,2.520229,3.150246,1,1.38E-11
7,1,1,0,3.5,131,0.4629389,2.309518,2.961761,1,7.20E-09,131,0.528855,2.520229,3.150246,1,1.38E-11
7,1,1,0,4,131,0.4555881,2.326327,3.001558,1,1.32E-08,131,0.528855,2.520229,3.150246,1,1.38E-11
7,1,1,0,4.5,131,0.4484924,2.356137,3.043821,1,2.35E-08,131,0.528855,2.520229,3.150246,1,1.38E-11
7,1,1,0,5,131,0.4416284,2.388638,3.088282,1,4.04E-08,131,0.528855,2.520229,3.150246,1,1.38E-11
7,1,1,0,5.5,131,0.4349262,2.420259,3.135023,1,6.76E-08,131,0.528855,2.520229,3.150246,1,1.38E-11
7,1,1,0,6,131,0.4283365,2.451455,3.184217,1,1.11E-07,131,0.528855,2.520229,3.150246,1,1.38E-11
7,1,1,0,6.5,131,0.4218554,2.485647,3.235966,1,1.78E-07,131,0.528855,2.520229,3.150246,1,1.38E-11
7,1,1,0,7,131,0.4155198,2.520748,3.290235,1,2.81E-07,131,0.528855,2.520229,3.150246,1,1.38E-11
7,1,1,0,7.5,131,0.4093885,2.557232,3.346859,1,4.33E-07,131,0.528855,2.520229,3.150246,1,1.38E-11
7,1,1,0,8,131,0.4035228,2.597027,3.405574,1,6.47E-07,131,0.528855,2.520229,3.150246,1,1.38E-11
7,1,1,0,8.5,131,0.3979736,2.638465,3.466054,1,9.41E-07,131,0.528855,2.520229,3.150246,1,1.38E-11
7,1,1,0,9,131,0.3927747,2.682225,3.527942,1,1.33E-06,131,0.528855,2.520229,3.150246,1,1.38E-11
7,1,1,0,9.5,131,0.3879419,2.730447,3.590874,1,1.81E-06,131,0.528855,2.520229,3.150246,1,1.38E-11
7,1,1,0,10,131,0.3834739,2.778069,3.654505,1,2.41E-06,131,0.528855,2.520229,3.150246,1,1.38E-11
